STATE,DISTRICT,CROP,YEAR,PRODUCTION_TONNES,AREA,SOURCE_URL
ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,2006,2006,408.0,68.0,https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de
ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,2010,2010,20118.0,6791.0,https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de
ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,2010,2010,889.2,73.33,https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de
ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,2010,2010,2290.0,1296.0,https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de
ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,2010,2010,90.8,294.5,https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de
ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,2010,2010,13.5,168.0,https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de
ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,2010,2010,39.0,84.5,https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de
ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,2010,2010,402.0,254.0,https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de
ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,2010,2010,1011.84,110.0,https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de
ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,2010,2010,6.8,4.75,https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de
ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,2010,2010,96.4,86.7,https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de
ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,2010,2010,556.55,1168.6,https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de
ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,2010,2010,1.9,2.9,https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de
ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,2010,2010,480.0,109.0,https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de
ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,2010,2010,376.5,68.0,https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de
ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,2010,2010,458.79,1059.5,https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de
ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,2010,2010,7968.0,657.0,https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de
ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,2010,2010,12700000.0,3668.0,https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de
ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,2010,2010,1355.0,186.5,https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,2002,2002,31600.82,10695.8,https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,2002,2002,5267.0,3105.0,https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,2002,2002,10882.0,1524.0,https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,2002,2002,102.5,487.0,https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,2002,2002,24.0,81.0,https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,2002,2002,26830000.0,7060.0,https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,2002,2002,20.9,239.0,https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,2002,2002,1145.0,352.0,https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,2002,2002,40.31,85.1,https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,2002,2002,13760.0,455.0,https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,2003,2003,30760.7,10509.37,https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,2003,2003,5182.0,3118.0,https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,2003,2003,11558.0,1530.0,https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,2003,2003,104.37,497.0,https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,2003,2003,26.14,116.5,https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,2003,2003,26660000.0,7110.0,https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,2003,2003,578.0,340.0,https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,2003,2003,1299.2,406.0,https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,2003,2003,35.51,82.09,https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,2003,2003,2879.52,268.0,https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,2004,2004,29119.66,10681.98,https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,2004,2004,3975.2,3160.67,https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,2004,2004,17374.4,1912.1,https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,2004,2004,104.36,570.0,https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,2004,2004,25.1,116.5,https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,2004,2004,34750000.0,7156.7,https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,2004,2004,822.8,340.0,https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,2004,2004,1462.0,410.0,https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,2004,2004,46.5,89.3,https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,2004,2004,1560.0,145.26,https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,2005,2005,25870.98,8683.38,https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,2005,2005,3058.46,3250.78,https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,2005,2005,10251.13,1656.8,https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,2005,2005,35.95,656.45,https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de
